Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
UN Women,UN Women,Serbia,14800,7600,7200,Support to local communities,Operational Support,UN,Serbia
UN Women,UN Women,fYR Macedonia,315600,147600,168000,SGBV,Protection,UN,Macedonia
UN Women,UN Women,fYR Macedonia,26248,11808,14440,Operational Support,Operational Support,UN,Macedonia
UNDP ,UNDP United Nations Development Programme,Regional,500000,250000,250000,Local Community Support,Local Community Support,UN ,Regional
UNDP ,UNDP United Nations Development Programme,Serbia,2116000,1058000,1058000,Support to local communities,Local Community Support,UN,Serbia
UNDP ,UNDP United Nations Development Programme,Serbia,184000,92000,92000,Support to local communities,Operational Support,UN,Serbia
UNDP ,UNDP United Nations Development Programme,fYR Macedonia,5200000,2700000,2500000,Livelihoods/Host Community Resilience,Local Community Support,UN,Macedonia
UNFPA ,UNFPA United Nations Population Fund,Serbia,500000,250000,250000,Health,Health and Nutrition,UN,Serbia
UNFPA ,UNFPA United Nations Population Fund,Serbia,40000,20000,20000,Operational Support,Operational Support,UN,Serbia
UNFPA ,UNFPA United Nations Population Fund,Turkey,400000,200000,200000,SGBV Programmes,Protection,UN,Turkey
UNFPA ,UNFPA United Nations Population Fund,Turkey,600000,300000,300000,Health,Health and Nutrition,UN,Turkey
UNFPA ,UNFPA United Nations Population Fund,Turkey,1000000,500000,500000,NFIs,Shelter and NFIs,UN,Turkey
UNFPA ,UNFPA United Nations Population Fund,fYR Macedonia,257000,100000,157000,SGBV,Protection,UN,Macedonia
UNFPA ,UNFPA United Nations Population Fund,fYR Macedonia,402000,200000,202000,Health,Health and Nutrition,UN,Macedonia
UNFPA ,UNFPA United Nations Population Fund,fYR Macedonia,216000,108000,108000,Hygiene,WASH,UN,Macedonia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Regional,36246359,18123179.5,18123179.5,Protection,Protection,UN ,Regional
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Regional,20000000,10000000,10000000,NFIs,Shelter and NFIs,UN ,Regional
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Regional,3937245,1968622.5,1968622.5,Operational Support,Operational Support,UN ,Regional
